timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1638729989049,34075,ADJUSTEDCOSINE,200,,Thread Group 1-5,text,true,,228,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,34075,0,1
1638729990577,33223,ADJUSTEDCOSINE,200,,Thread Group 1-2,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,33223,0,0
1638729989582,34383,ADJUSTEDCOSINE,200,,Thread Group 1-3,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,34383,0,0
1638729991467,33301,ADJUSTEDCOSINE,200,,Thread Group 1-1,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,33301,0,0
1638729993067,32457,ADJUSTEDCOSINE,200,,Thread Group 1-10,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,32457,0,1
1638729993766,32568,ADJUSTEDCOSINE,200,,Thread Group 1-9,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,32568,0,1
1638729993743,32872,ADJUSTEDCOSINE,200,,Thread Group 1-8,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,32872,0,1
1638729994006,32824,ADJUSTEDCOSINE,200,,Thread Group 1-6,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,32824,0,1
1638729996236,32056,ADJUSTEDCOSINE,200,,Thread Group 1-7,text,true,,228,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,32056,0,1
1638729996667,32068,ADJUSTEDCOSINE,200,,Thread Group 1-4,text,true,,228,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,32068,0,0
1638730023126,30058,ADJUSTEDCOSINE,200,,Thread Group 1-5,text,true,,228,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,30058,0,0
1638730023966,30387,ADJUSTEDCOSINE,200,,Thread Group 1-3,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,30387,0,0
1638730023801,30575,ADJUSTEDCOSINE,200,,Thread Group 1-2,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,30575,0,0
1638730024769,30166,ADJUSTEDCOSINE,200,,Thread Group 1-1,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,30166,0,0
1638730025525,30274,ADJUSTEDCOSINE,200,,Thread Group 1-10,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,30274,0,0
1638730026335,29967,ADJUSTEDCOSINE,200,,Thread Group 1-9,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,29967,0,0
1638730026615,30319,ADJUSTEDCOSINE,200,,Thread Group 1-8,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,30319,0,0
1638730026830,30731,ADJUSTEDCOSINE,200,,Thread Group 1-6,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,30731,0,0
1638730028292,29688,ADJUSTEDCOSINE,200,,Thread Group 1-7,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,29688,0,0
1638730028736,30688,ADJUSTEDCOSINE,200,,Thread Group 1-4,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,30687,0,0
1638730053193,29179,ADJUSTEDCOSINE,200,,Thread Group 1-5,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,29179,0,1
1638730054353,29456,ADJUSTEDCOSINE,200,,Thread Group 1-3,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,29456,0,1
1638730054377,29749,ADJUSTEDCOSINE,200,,Thread Group 1-2,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,29749,0,0
1638730054936,29504,ADJUSTEDCOSINE,200,,Thread Group 1-1,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,29504,0,0
1638730056302,29198,ADJUSTEDCOSINE,200,,Thread Group 1-9,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,29198,0,1
1638730055800,30017,ADJUSTEDCOSINE,200,,Thread Group 1-10,text,true,,227,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,30017,0,3
1638730056934,29393,ADJUSTEDCOSINE,200,,Thread Group 1-8,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,29393,0,1
1638730057561,29152,ADJUSTEDCOSINE,200,,Thread Group 1-6,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,29152,0,1
1638730057981,29390,ADJUSTEDCOSINE,200,,Thread Group 1-7,text,true,,229,218,10,10,http://localhost:8080/recommendations/itemknncomparison?algorithm=ADJUSTEDCOSINE&numNeighbors=10000&aggregationApproach=mean,29390,0,2
